Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude
332420,45,3.0,3.0,12.0,0.07853,0,25.42744758,81.8360806
332423,12,0.0,6.0,14.0,-1.26143,0,26.0665933,83.46825696
332440,895,71.0,67.0,75.0,-0.44295,0,29.58800052,77.55355308
332441,195,9.0,20.0,58.0,-1.07237,0,26.59618078,83.62314437
332442,80,12.0,12.0,32.0,-1.05257,0,25.93136383,83.16664003
332444,20,0.0,0.0,0.0,-1.22713,0,28.19007281,78.49478469
332449,815,35.0,35.0,24.0,0.56672,0,28.07903845,77.49730407
332453,1349,22.0,64.0,121.0,-1.07474,0,25.8884093,81.09358642
332456,95,16.0,12.0,4.0,-0.49371,0,27.23459518,77.82382852
332460,875,98.0,98.0,151.0,1.26534,0,28.63628969,77.33701973
332474,475,42.0,47.0,69.0,-0.57234,0,26.067354199999997,80.38522085
332481,30,6.0,6.0,0.0,-0.50113,0,27.1804971,81.16427025
332489,50,5.0,5.0,19.0,0.38967,0,26.78077426,79.02430582
332496,615,13.0,33.0,42.0,-1.28967,0,25.91154695,79.92693468
332507,615,48.0,51.0,52.0,-0.51917,0,27.29570927,78.66776112
332509,370,42.0,48.0,41.0,-0.49737,0,27.53877151,78.68273919
332511,175,23.0,35.0,67.0,-1.0276,0,26.99228068,83.0862863
332512,120,0.0,11.0,5.0,-1.03894,0,27.57645346,82.37355298
332515,770,23.0,63.0,131.0,-0.73741,0,26.95890069,79.37253224
332521,510,29.0,59.0,130.0,-0.89999,0,25.65012681,81.34843418
332522,60,6.0,0.0,10.0,-0.72993,0,26.93752497,80.95336928
332523,385,24.0,24.0,19.0,0.05672,0,27.89866299,78.04436677
332529,180,0.0,5.0,2.0,-1.43404,0,27.53473275,81.79130881
332536,45,8.0,10.0,24.0,0.93797,0,27.1478187,83.55919518
