,id,max_light,min_light,mean_light,median_light,std_light,Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude,geometry
5509,290305.0,62.0,8.0,24.69,16.0,16.89301334871905,290305,2830,96.0,98.0,105.0,-0.34902,0,26.12375351,74.28016779,POINT (74.28016779 26.12375351)
5510,290317.0,63.0,16.0,53.21,60.5,12.587529543162947,290317,30,6.0,6.0,0.0,0.5974,0,25.14621866,75.88427198,POINT (75.88427198 25.14621866)
5511,290331.0,9.0,0.0,6.88,7.0,1.202331069215131,290331,1400,73.0,71.0,180.0,-1.033295,0,26.767749600000005,77.99336706,POINT (77.99336706 26.767749600000005)
5512,290332.0,9.0,0.0,2.03,0.0,3.080438280504903,290332,845,40.0,40.0,41.0,0.17761,0,26.27233125,73.68509417,POINT (73.68509417 26.27233125)
5513,290334.0,63.0,9.0,37.89,37.0,16.50145145131179,290334,300,17.0,17.0,20.0,0.2872,0,25.33883692,74.59262902,POINT (74.59262902 25.33883692)
5514,290337.0,7.0,0.0,0.49,0.0,1.6643016553497743,290337,4565,96.0,99.0,57.0,-1.15878,0,24.10539163,74.86189274,POINT (74.86189274 24.10539163)
5515,290344.0,0.0,0.0,0.0,0.0,0.0,290344,2155,46.0,61.0,59.0,-1.34405,0,24.29451788,74.56915826,POINT (74.56915826 24.29451788)
5516,290348.0,21.0,10.0,15.14,15.0,2.4536503418376463,290348,90,6.0,6.0,22.0,0.52619,0,28.10500548,76.43783814,POINT (76.43783814 28.10500548)
5517,290349.0,7.0,0.0,0.18,0.0,1.0332473082471594,290349,3890,113.0,134.0,136.0,-0.56522,0,26.56641154,77.53828529,POINT (77.53828529 26.56641154)
5518,290351.0,27.0,6.0,11.31,9.0,5.057064365815408,290351,1270,67.0,60.0,139.0,-0.11972,0,27.31466997,77.40577343,POINT (77.40577343 27.31466997)
5519,290353.0,26.0,7.0,14.13,13.0,5.245293128129257,290353,250,11.0,11.0,7.0,0.09222,0,27.67174072,75.73785936,POINT (75.73785936 27.67174072)
5520,290359.0,15.0,0.0,5.06,6.0,3.4606935721037186,290359,1215,62.0,64.0,131.0,-0.69408,0,26.79179318,77.580118,POINT (77.580118 26.79179318)
